movie_id,title,status,year,revenue,budget,budget_to_rev ,popularity,genre,production_countries,genre_raw,,,,,,,,
4530436,Little Caesar,Released,1931,752000,281000,2.6761565836299,8.433,Drama,United States of America,"Drama, Crime",,,,,,,,
4550501,The Champ,Released,1931,1600000,356000,4.4943820224719,6.049,Drama,United States of America,Drama,,,,,,,,
4548867,Mata Hari,Released,1931,2227000,558000,3.9910394265233,3.824,Horror,United States of America,"Crime, Drama, Romance",,,,,,,,
4562917,Bad Girl,Released,1931,1100000,100000,11,3.766,Romance,United States of America,"Romance, Drama",,,,,,,,
4561204,Five Star Final,Released,1931,822000,310000,2.6516129032258,2.778,Horror,United States of America,"Crime, Drama",,,,,,,,
4598181,Trader Horn,Released,1931,4200000,1300000,3.2307692307692,1.343,Action,United States of America,"Action, Adventure",,,,,,,,
4529456,Grand Hotel,Released,1932,2594000,700000,3.7057142857143,11.747,Drama,United States of America,"Drama, Romance",,,,,,,,
4546177,Red Dust,Released,1932,1223000,408000,2.9975490196078,6.862,Romance,United States of America,"Romance, Drama",,,,,,,,
4599637,Emma,Released,1932,1972000,350000,5.6342857142857,4.899,Drama,United States of America,"Drama, Comedy",,,,,,,,
4549904,One Way Passage,Released,1932,1108000,350000,3.1657142857143,3.427,Drama,United States of America,"Drama, Romance",,,,,,,,
4730608,Prosperity,Released,1932,1514000,628000,2.4108280254777,2.68,Drama,United States of America,"Drama, Comedy",,,,,,,,
4582581,The Lost Squadron,Released,1932,732000,621000,1.1787439613527,2.255,Drama,United States of America,"Drama, Action, War, History",,,,,,,,
4605955,As You Desire Me,Released,1932,1362000,460733,2.9561589901309,1.815,Drama,United States of America,Drama,,,,,,,,
4616020,Strange Interlude,Released,1932,1237000,654000,1.8914373088685,1.364,Drama,United States of America,Drama,,,,,,,,
4537971,Baby Face,Released,1933,451000,187000,2.4117647058824,44.769,Drama,United States of America,Drama,,,,,,,,
4523128,King Kong,Released,1933,10000000,672000,14.880952380952,21.668,Action,United States of America,"Adventure, Fantasy, Horror",,,,,,,,
4537554,Queen Christina,Released,1933,2610000,1114000,2.342908438061,10.886,Drama,United States of America,"Drama, History, Romance",,,,,,,,
4535901,Gold Diggers of 1933,Released,1933,3200000,433000,7.3903002309469,10.372,Comedy,United States of America,"Comedy, Drama",,,,,,,,
4533764,42nd Street,Released,1933,2281000,439000,5.1958997722096,10.282,Comedy,United States of America,"Comedy, Drama, Romance",,,,,,,,
4536265,Little Women,Released,1933,2100000,424000,4.9528301886792,9.275,Drama,United States of America,"Drama, Family",,,,,,,,
4539079,Dinner at Eight,Released,1933,2156000,435000,4.9563218390805,8.851,Comedy,United States of America,"Comedy, Drama",,,,,,,,
4538776,Cavalcade,Released,1933,7630000,1180280,6.4645677296913,8.158,Drama,United States of America,"Drama, War",,,,,,,,
