movie_id,title,status,year,revenue,budget,budget to rev ,popularity,Genre,production_countries,Genre (raw)
4520184,The Amazing Spider-Man 2,Released,2014,708962323,200000000,3.544811615,73.319,Action,United States of America,"Action, Adventure, Fantasy"
4662429,Bak Yeşil Yeşil,Released,1975,124000,35000,3.54285714285714,1.023,Comedy,Turkey,Comedy
4520159,The Hateful Eight,Released,2015,155760117,44000000,3.54000265909091,32.119,Drama,United States of America,"Drama, Mystery, Western"
4736817,Rio Rita,Released,1929,2400000,678000,3.53982300884956,0.79,Romance,United States of America,"Romance, Western, Music"
4522085,Gothika,Released,2003,141591324,40000000,3.5397831,20.694,Horror,United States of America,"Horror, Thriller"
4520508,The Meg,Released,2018,530517320,150000000,3.53678213333333,101.431,Action,"China, United States of America","Action, Science Fiction, Horror"
4529327,Ju-on: The Grudge 2,Released,2003,70700000,20000000,3.535,17.971,Horror,Japan,"Horror, Thriller"
4522075,Gandhi,Released,1982,77737889,22000000,3.53354040909091,15.878,Drama,"India, United Kingdom","Drama, History"
4520891,National Treasure: Book of Secrets,Released,2007,459242249,130000000,3.53263268461539,32.036,Action,United States of America,"Action, Adventure, Mystery, Thriller"
4524898,Big Fat Liar,Released,2002,52970014,15000000,3.53133426666667,11.904,Family,United States of America,"Family, Comedy, Adventure"
4538117,Cocktail,Released,2012,18000000,5100000,3.52941176470588,7.314,Romance,India,"Romance, Drama, Comedy"
4546886,Care Bears Movie II: A New Generation,Released,1986,12000000,3400000,3.52941176470588,5.694,Animation,"Canada, United States of America","Animation, Adventure, Family"
4523428,My Name Is Khan,Released,2010,42345360,12000000,3.52878,25.821,Drama,"United Arab Emirates, India, United States of America","Drama, Romance"
4540903,Vikram,Released,2022,54172014,15354648,3.52805313413893,8.379,Action,India,"Action, Adventure, Crime, Thriller"
4523663,About Schmidt,Released,2002,105834556,30000000,3.52781853333333,15.247,Drama,United States of America,"Drama, Comedy"
4522112,Superman II,Released,1980,190458706,54000000,3.52701307407407,23.873,Science Fiction,"United Kingdom, United States of America","Science Fiction, Action, Adventure"
4521677,Shallow Hal,Released,2001,141069860,40000000,3.5267465,22.574,Comedy,United States of America,"Comedy, Romance"
4520718,The Accountant,Released,2016,155160045,44000000,3.52636465909091,22.664,Crime,United States of America,"Crime, Thriller, Drama"
